,airport,city,state,flights_out,flights_in,flights_total,passengers_out,passengers_in,passengers_total,lat,lng
0,1B1,"Hudson, NY",NY,1,1,2,1,1,2,42.2528649,-73.790959
1,ABE,"Allentown, PA",PA,197023,195394,392417,8041676,7903546,15945222,40.6022939,-75.4714098
2,ABI,"Abilene, TX",TX,50043,51071,101114,979555,955095,1934650,32.4487364,-99.73314390000002
3,ABQ,"Albuquerque, NM",NM,758144,762363,1520507,59884077,59888901,119772978,35.0843859,-106.650422
4,ABR,"Aberdeen, SD",SD,30832,32184,63016,457012,450173,907185,45.4646985,-98.4864829
5,ABY,"Albany, GA",GA,34298,37403,71701,615397,613671,1229068,31.5785074,-84.15574099999999
6,ACT,"Waco, TX",TX,57703,57901,115604,1021412,1005118,2026530,31.549333,-97.1466695
7,ACV,"Eureka, CA",CA,58626,59360,117986,1218741,1212761,2431502,40.8020712,-124.1636729
8,ACY,"Atlantic City, NJ",NJ,73190,72953,146143,5772108,5728973,11501081,39.3642834,-74.4229266
9,ADM,"Ardmore, OK",OK,28,14,38,0,0,0,34.1742611,-97.14362539999999
10,ADQ,"Kodiak, AK",AK,33243,32595,65838,840839,831413,1672252,57.79000000000001,-152.4072221
11,ADS,"Dallas, TX",TX,359,534,884,20,8,28,32.7766642,-96.79698789999999
12,AEX,"Alexandria, LA",LA,61268,61359,122627,1361529,1352878,2714407,31.3112936,-92.4451371
13,AFW,"Dallas, TX",TX,31953,28422,60374,21530,18510,40040,32.7766642,-96.79698789999999
14,AGC,"Pittsburgh, PA",PA,14,9,18,98,64,140,40.44062479999999,-79.9958864
15,AGS,"Augusta, GA",GA,82735,82668,165403,3530665,3411867,6942532,33.4734978,-82.0105148
16,AHN,"Athens, GA",GA,6264,6133,12397,47732,44578,92310,33.9519347,-83.357567
17,AID,"Anderson, IN",IN,24,13,27,0,0,0,40.1053196,-85.6802541
18,AIY,"Atlantic City, NJ",NJ,1,1,2,120,120,240,39.3642834,-74.4229266
19,ALB,"Albany, NY",NY,432901,435232,868133,22755512,22685049,45440561,42.6525793,-73.7562317
20,ALM,"Alamogordo, NM",NM,6143,6239,12382,14640,17393,32033,32.8995325,-105.960265
21,ALO,"Waterloo, IA",IA,43636,43786,87422,608133,606342,1214475,42.492786,-92.34257749999999
22,ALW,"Walla Walla, WA",WA,31535,33416,64951,456936,474042,930978,46.0645809,-118.3430208
23,AMA,"Amarillo, TX",TX,154114,154593,308707,8682733,8666248,17348981,35.2219971,-101.8312969
24,AMK,"Durango, CO",CO,7,7,13,0,0,0,37.27528,-107.8800667
25,AMW,"Ames, IA",IA,1,1,2,22,21,43,42.0307812,-93.63191309999999
26,ANB,"Anniston, AL",AL,70,68,135,2322,2314,4580,33.6598257,-85.8316318
27,ANC,"Anchorage, AK",AK,555105,525685,1080790,32812908,33930515,66743423,61.2180556,-149.9002778
28,AND,"Anderson, SC",SC,87,78,157,1917,1648,3481,34.5034394,-82.6501332
29,AOH,"Lima, OH",OH,35,23,49,0,0,0,40.742551,-84.1052256
30,AOO,"Altoona, PA",PA,8091,9699,17789,49690,46417,96107,40.5186809,-78.3947359
31,APC,"Napa, CA",CA,6,3,5,31,18,27,38.5024689,-122.2653887
32,APF,"Naples, FL",FL,18782,18792,37571,300040,304161,604182,26.1420358,-81.7948103
33,APN,"Alpena, MI",MI,11253,12062,23315,220150,216467,436617,45.0616794,-83.4327528
